index,annot1,annot2
train_08_158_3337,Uncausal,Uncausal
train_02_221_2016,Uncausal,Uncausal
train_08_308_1065,Uncausal,Countercausal
train_09_B_115_741,Uncausal,Uncausal
train_06_117_3246,Causal,Countercausal
train_03_37_2375,Causal,Uncausal
train_06_16_686,Causal,Uncausal
train_09_B_117_3091,Causal,Causal
train_03_112_1145,Uncausal,Uncausal
train_04_108_1298,Countercausal,Countercausal
train_06_26_2318,Causal,Causal
train_04_71_2695,Countercausal,Countercausal
train_05_258_2848,Countercausal,Countercausal
train_02_236_2119,Causal,Causal
train_03_206_1343,Uncausal,Causal
train_01_25_2462,Uncausal,Uncausal
train_03_237_2730,Uncausal,Causal
train_05_31_680,Causal,Causal
train_03_126_1479,Causal,Causal
train_07_225_1881,Uncausal,Causal
train_01_72_1777,Countercausal,Countercausal
train_06_268_1215,Countercausal,Countercausal
train_09_B_158_1858,Causal,Causal
train_04_17_3306,Causal,Causal
train_03_230_966,Countercausal,Countercausal
train_07_84_1310,Causal,Uncausal
train_07_79_3029,Uncausal,Causal
train_04_197_1211,Countercausal,Countercausal
train_03_216_825,Causal,Causal
train_08_13_2449,Causal,Causal
train_09_A_5_2757,Causal,Uncausal
train_01_172_1392,Countercausal,Countercausal
train_07_301_657,Causal,Causal
train_09_B_93_1951,Uncausal,Causal
train_05_137_2267,Countercausal,Countercausal
train_01_49_1028,Causal,Causal
train_08_290_2010,Countercausal,Countercausal
train_01_314_2435,Countercausal,Countercausal
train_05_147_3376,Countercausal,Countercausal
train_04_236_3140,Countercausal,Countercausal
train_03_51_2588,Causal,Causal
train_09_A_106_1187,Causal,Causal
train_04_107_594,Countercausal,Countercausal
train_05_209_2601,Countercausal,Countercausal
train_07_218_3268,Countercausal,Countercausal
train_03_292_2621,Countercausal,Countercausal
train_06_51_3044,Countercausal,Countercausal
train_02_2_1708,Countercausal,Countercausal
train_09_B_17_1361,Causal,Causal
train_04_118_2933,Uncausal,Causal
train_01_197_285,Countercausal,Countercausal
train_08_67_544,Countercausal,Countercausal
train_04_228_2944,Countercausal,Countercausal
train_08_57_78,Uncausal,Uncausal
train_03_187_203,Uncausal,Uncausal
train_06_269_2550,Uncausal,Uncausal
train_01_237_2439,Uncausal,Uncausal
train_05_212_450,Uncausal,Uncausal
train_03_130_2774,Causal,Uncausal
train_01_30_2873,Uncausal,Uncausal
train_08_72_60,Uncausal,Uncausal
train_03_25_465,Uncausal,Uncausal
train_08_222_1840,Uncausal,Uncausal
train_09_A_20_1935,Causal,Causal
train_07_8_1729,Uncausal,Uncausal
train_04_219_1198,Uncausal,Uncausal
train_07_13_2006,Countercausal,Countercausal
train_03_204_2929,Countercausal,Countercausal
train_04_9_574,Countercausal,Countercausal
train_04_161_254,Causal,Countercausal
train_01_252_489,Uncausal,Uncausal
train_09_B_42_3039,Countercausal,Countercausal
train_04_113_2783,Countercausal,Countercausal
train_08_88_376,Uncausal,Uncausal
train_05_149_1764,Countercausal,Countercausal
train_07_212_1046,Countercausal,Countercausal
train_06_192_1062,Causal,Causal
train_01_100_2680,Causal,Causal
train_09_A_13_2503,Causal,Uncausal
train_09_B_89_1334,Countercausal,Countercausal
train_06_184_48,Causal,Causal
train_05_280_421,Uncausal,Uncausal
train_06_161_1854,Mixed,Causal
train_07_173_2625,Uncausal,Causal
train_09_A_92_1975,Causal,Causal
train_01_62_2152,Uncausal,Causal
train_09_B_157_3318,Uncausal,Uncausal
train_07_154_2390,Causal,Uncausal
train_06_87_2808,Causal,Causal
train_05_97_2914,Causal,Causal
train_09_A_102_3076,Causal,Causal
train_04_226_1112,Countercausal,Countercausal
train_08_249_3226,Uncausal,Uncausal
train_09_B_74_3177,Causal,Countercausal
train_09_B_144_696,Uncausal,Uncausal
train_04_64_691,Countercausal,Countercausal
train_08_250_277,Causal,Causal
train_04_182_326,Causal,Causal
train_04_79_3078,Countercausal,Countercausal
train_03_73_1051,Countercausal,Countercausal
train_02_59_980,Uncausal,Uncausal
train_05_241_2353,Countercausal,Countercausal
train_06_225_2942,Causal,Causal
train_03_12_394,Uncausal,Uncausal
train_01_190_473,Countercausal,Countercausal
train_06_270_679,Countercausal,Countercausal
train_07_168_2035,Countercausal,Countercausal
train_09_B_20_3005,Countercausal,Countercausal
train_05_308_1458,Uncausal,Uncausal
train_09_A_38_3010,Causal,Uncausal
train_07_121_167,Uncausal,Uncausal
train_06_111_386,Countercausal,Countercausal
train_02_174_901,Causal,Causal
train_06_230_146,Uncausal,Uncausal
train_07_101_2663,Countercausal,Countercausal
train_09_A_160_235,Countercausal,Countercausal
train_09_A_27_108,Uncausal,Uncausal
train_03_127_121,Countercausal,Countercausal
train_09_A_75_2874,Countercausal,Countercausal
train_08_278_3247,Causal,Causal
train_02_47_2673,Causal,Causal
train_01_196_3012,Uncausal,Uncausal
train_03_6_331,Countercausal,Countercausal
train_01_95_2202,Causal,Uncausal
train_01_253_169,Uncausal,Uncausal
train_06_191_3199,Uncausal,Uncausal
train_01_16_289,Countercausal,Countercausal
train_02_256_910,Causal,Causal
train_02_195_2300,Causal,Causal
train_07_323_523,Countercausal,Countercausal
train_08_10_67,Uncausal,Uncausal
train_06_134_1796,Causal,Causal
train_07_82_30,Causal,Causal
train_08_112_402,Uncausal,Uncausal
train_01_273_740,Countercausal,Countercausal
train_01_93_1217,Uncausal,Uncausal
train_03_35_1634,Countercausal,Countercausal
train_02_286_2079,Causal,Causal
train_03_46_722,Countercausal,Countercausal
train_06_68_3145,Causal,Causal
train_08_107_3389,Countercausal,Countercausal
train_04_89_1762,Causal,Causal
train_09_B_7_3128,Uncausal,Causal
train_05_69_1183,Causal,Causal
train_06_201_3221,Causal,Uncausal
train_02_239_251,Causal,Causal
train_07_228_926,Causal,Causal
train_05_272_1449,Causal,Causal
train_04_216_255,Uncausal,Uncausal
train_08_90_1433,Causal,Causal
train_01_72_2718,Countercausal,Countercausal
train_05_299_259,Countercausal,Countercausal
train_06_81_3197,Causal,Mixed
train_01_250_3299,Uncausal,Uncausal
train_04_311_2711,Uncausal,Uncausal
train_05_191_1812,Uncausal,Causal
train_09_A_129_1523,Causal,Causal
train_04_52_1047,Causal,Causal
train_08_266_886,Countercausal,Causal
train_02_23_3341,Countercausal,Countercausal
train_06_13_69,Causal,Causal
train_03_319_242,Causal,Causal
train_08_48_1903,Causal,Causal
train_02_142_864,Countercausal,Countercausal
train_09_A_143_2885,Causal,Uncausal
train_05_124_2981,Causal,Causal
train_01_67_1109,Causal,Uncausal
train_05_26_780,Countercausal,Countercausal
train_03_67_1423,Countercausal,Countercausal
train_09_B_148_2350,Causal,Causal
train_08_105_2931,Causal,Uncausal
train_08_279_2406,Uncausal,Uncausal
train_04_237_2810,Uncausal,Causal
train_01_254_3323,Uncausal,Uncausal
train_09_A_144_3136,Causal,Causal
train_03_143_1390,Countercausal,Countercausal
train_09_B_46_2715,Causal,Causal
train_05_39_3240,Countercausal,Countercausal
train_04_72_2325,Uncausal,Uncausal
train_01_151_2547,Countercausal,Countercausal
train_01_218_1148,Causal,Causal
train_09_A_88_2484,Countercausal,Countercausal
train_01_231_84,Countercausal,Countercausal
train_05_192_2104,Countercausal,Countercausal
train_08_307_1611,Uncausal,Countercausal
train_03_38_210,Countercausal,Countercausal
train_02_262_640,Uncausal,Uncausal
train_01_44_2620,Countercausal,Countercausal
train_07_270_563,Countercausal,Countercausal
train_08_232_410,Causal,Uncausal
train_03_156_2315,Causal,Uncausal
train_07_95_2040,Uncausal,Uncausal
train_06_65_1963,Causal,Causal
train_09_A_134_1163,Uncausal,Causal
train_01_291_2271,Causal,Causal
train_07_151_2579,Countercausal,Countercausal
train_06_101_3058,Causal,Causal
train_04_136_1387,Causal,Causal
train_03_101_3285,Causal,Uncausal
train_08_89_466,Uncausal,Causal
train_06_12_1166,Causal,Uncausal
train_02_124_1748,Countercausal,Countercausal
train_07_252_3379,Countercausal,Causal
train_06_162_1501,Countercausal,Countercausal
train_02_15_1794,Countercausal,Countercausal
train_09_A_47_1276,Uncausal,Uncausal
train_02_267_3159,Causal,Causal
train_02_36_2518,Causal,Causal
train_03_82_2555,Causal,Causal
train_08_289_3321,Causal,Causal
train_03_253_367,Uncausal,Uncausal
train_04_229_2731,Causal,Causal
train_04_263_517,Causal,Causal
train_06_284_994,Causal,Uncausal
train_08_263_1168,Uncausal,Uncausal
train_08_124_2863,Countercausal,Countercausal
train_03_31_2266,Causal,Causal
train_06_18_3260,Causal,Causal
train_01_165_3168,Causal,Causal
train_01_214_39,Countercausal,Countercausal
train_08_106_3193,Uncausal,Uncausal
train_09_A_62_1154,Countercausal,Countercausal
train_07_205_1253,Countercausal,Countercausal
train_02_172_32,Uncausal,Uncausal
train_05_194_900,Countercausal,Countercausal
train_07_234_2657,Uncausal,Uncausal
train_04_92_1498,Countercausal,Countercausal
train_09_A_33_616,Uncausal,Uncausal
train_05_186_2654,Causal,Causal
train_06_103_2639,Countercausal,Countercausal
train_05_144_2514,Causal,Causal
train_02_190_1982,Uncausal,Uncausal
train_01_303_748,Countercausal,Countercausal
train_05_70_1258,Causal,Uncausal
train_03_58_1393,Uncausal,Uncausal
train_07_288_3089,Countercausal,Causal
train_02_181_1432,Causal,Causal
train_02_166_342,Countercausal,Countercausal
train_07_258_2404,Countercausal,Countercausal
train_04_200_1720,Uncausal,Uncausal
